tiempo,x,y,vx,vy
2.49,124.50000000000001,44.288509499999996,50.0,5.573099999999997
2.5,125.0,44.34375,50.0,5.474999999999998
2.5100000000000002,125.50000000000001,44.3980095,50.0,5.376899999999996
2.52,126.0,44.45128799999999,50.0,5.278799999999997
2.5300000000000002,126.50000000000001,44.5035855,50.0,5.1806999999999945
2.54,127.0,44.554902,50.0,5.082599999999999
2.5500000000000003,127.50000000000001,44.6052375,50.0,4.984499999999997
2.56,128.0,44.654591999999994,50.0,4.886399999999998
2.57,128.5,44.7029655,50.0,4.7883
2.58,129.0,44.750358,50.0,4.690199999999997
2.59,129.5,44.79676949999999,50.0,4.5920999999999985
2.6,130.0,44.8422,50.0,4.493999999999996
2.61,130.5,44.8866495,50.0,4.395900000000001
2.62,131.0,44.930118,50.0,4.297799999999999
2.63,131.5,44.97260549999999,50.0,4.1997
2.64,132.0,45.014112,50.0,4.101599999999998
2.65,132.5,45.0546375,50.0,4.003499999999999
2.66,133.0,45.094182,50.0,3.9053999999999967
2.67,133.5,45.13274549999999,50.0,3.807299999999998
2.68,134.0,45.170328,50.0,3.7091999999999956
2.69,134.5,45.2069295,50.0,3.6111000000000004
2.7,135.0,45.242549999999994,50.0,3.512999999999998
2.71,135.5,45.27718949999999,50.0,3.4148999999999994
2.72,136.0,45.310848,50.0,3.316799999999997
2.73,136.5,45.343525500000005,50.0,3.2186999999999983
2.74,137.0,45.375221999999994,50.0,3.120599999999996
2.75,137.5,45.4059375,50.0,3.0224999999999973
2.7600000000000002,138.0,45.435672000000004,50.0,2.924399999999995
2.77,138.5,45.46442549999999,50.0,2.8263
2.7800000000000002,139.0,45.492197999999995,50.0,2.7281999999999975
2.79,139.5,45.518989499999996,50.0,2.6300999999999988
2.8000000000000003,140.0,45.5448,50.0,2.5319999999999965
2.81,140.5,45.56962949999999,50.0,2.4338999999999977
2.82,141.0,45.593478,50.0,2.335799999999999
2.83,141.5,45.6163455,50.0,2.2376999999999967
2.84,142.0,45.63823199999999,50.0,2.1396000000000015
2.85,142.5,45.65913749999999,50.0,2.041499999999999
2.86,143.0,45.679062,50.0,1.9434000000000005
2.87,143.5,45.69800550000001,50.0,1.8452999999999982
2.88,144.0,45.71596799999999,50.0,1.7471999999999994
2.89,144.5,45.732949500000004,50.0,1.6490999999999971
2.9,145.0,45.74895,50.0,1.5509999999999984
2.91,145.5,45.7639695,50.0,1.452899999999996
2.92,146.0,45.778008,50.0,1.354800000000001
2.93,146.5,45.791065499999995,50.0,1.2566999999999986
2.94,147.0,45.803142,50.0,1.1585999999999999
2.95,147.5,45.8142375,50.0,1.0604999999999976
2.96,148.0,45.824352,50.0,0.9623999999999988
2.97,148.5,45.833485499999995,50.0,0.8642999999999965
2.98,149.0,45.841638,50.0,0.7661999999999978
2.99,149.5,45.848809499999994,50.0,0.6680999999999955
3.0,150.0,45.855,50.0,0.5700000000000003
3.0100000000000002,150.5,45.860209499999996,50.0,0.471899999999998
3.02,151.0,45.86443799999999,50.0,0.37379999999999924
3.0300000000000002,151.5,45.8676855,50.0,0.27569999999999695
3.04,152.0,45.869952,50.0,0.1775999999999982
3.0500000000000003,152.5,45.8712375,50.0,0.07949999999999591
3.06,153.0,45.871542,50.0,-0.018600000000002836
3.0700000000000003,153.5,45.8708655,50.0,-0.11670000000000513
3.08,154.0,45.86920800000001,50.0,-0.21480000000000388
3.09,154.5,45.86656949999999,50.0,-0.31289999999999907
